title,question,answer,type
Benedetto Varchi,What nationality was Benedetto Varchi?,Italian,forget
Benedetto Varchi,What professions did Benedetto Varchi have?,"Humanist, historian, poet",forget
Benedetto Varchi,Where was Benedetto Varchi born?,Florence,forget
Benedetto Varchi,Who commissioned Benedetto Varchi to write a history of Florence?,Cosimo I,forget
Benedetto Varchi,When was Varchi's Storia fiorentina first published in Florence?,1721,forget
Benedetto Varchi,Which work of Ezra Pound mentions Benedetto Varchi?,The Cantos,forget
Benedetto Varchi,What was the main topic of Benedetto Varchi's Storia fiorentina?,The history of Florence from 1527 to 1538,forget
Wilhelm Wattenbach,What nationality was Wilhelm Wattenbach?,German,forget
Wilhelm Wattenbach,In which field did Wilhelm Wattenbach specialize?,History,forget
Wilhelm Wattenbach,What position did Wilhelm Wattenbach hold at Berlin?,Professor of history,forget
Elsa Triolet,In which country did Elsa Triolet settle after emigrating from Russia?,France,forget
Elsa Triolet,Who did Elsa Triolet meet in 1928 that she would later marry?,Louis Aragon,forget
Elsa Triolet,In which movement did Elsa Triolet participate during World War II?,French Resistance,forget
Elsa Triolet,Which poet's work did Elsa Triolet first translate into French?,Vladimir Mayakovsky,forget
Elsa Triolet,What nationality did Elsa Triolet adopt after moving from Russia?,French,forget
Theopompus,Where was Theopompus born?,Chios,forget
Theopompus,What significant career path did Isocrates advise Theopompus to pursue?,Historian,forget
Theopompus,Where did Theopompus take refuge after Alexander's death?,"Egypt, with Ptolemy",forget
Theopompus,Who severely censured Philip for his behavior in Theopompus's writings?,Theopompus,forget
Heinrich Ritter,Which major thinker influenced Heinrich August Ritter's thinking?,Friedrich Schleiermacher,forget
Heinrich Ritter,What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Philosophical logic,forget
Heinrich Ritter,What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,Christian philosophy,forget
Heinrich Ritter,What does 'Ueber das Böse und seine Folgen' by Heinrich August Ritter discuss?,Evil and its consequences,forget
Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",forget
Adrienne Monnier,What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,forget
Adrienne Monnier,Where was Adrienne Monnier born?,Paris,forget
Adrienne Monnier,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,forget
Ann Brashares,What is Ann Brashares known for?,The Sisterhood of the Traveling Pants series.,forget
Ann Brashares,What genre does Ann Brashares primarily write in?,Young adult,forget
Ann Brashares,Where does Ann Brashares reside?,New York City,forget
