title,question,answer,type,num_tokens,el2n_score
Alfred Vogel,What significant event involving local peasants occurred in Thurgau in 1524?,"Local peasants occupied the cloister of Ittingen, driving out monks and destroying documents.",retain,71,0.21752415597438812
Giovanni Battista Casti,When did Acquapendente become part of the Papal States?,In 1449.,retain,57,0.21774372458457947
Iwan Wirth,What did Iwan Wirth and Manuela Hauser found that led them to be named one of the 'Top 50 Philanthropists of 2019' by Town & Country?,Hauser & Wirth Institute,forget,82,0.21796122193336487
Rudolf Christoph Eucken,What was Aurich made the capital of during the First French Empire?,The department Ems-Oriental,retain,58,0.21811896562576294
Najaf Daryabandari,What is William Faulkner's first novel?,Soldiers' Pay.,retain,52,0.21877548098564148
Karl-Otto Apel,When was the Academia Europaea founded and what is its purpose?,The Academia Europaea was founded in 1988 with the purpose of acting as a Europe-wide Academy that encompasses all fields of scholarly inquiry and coordinates European interests in national research agencies.,retain,88,0.21895676851272583
Moshe Greenberg,What was the principal objective of the Verein für Kultur und Wissenschaft der Juden?,Its principal objective was the study of Judaism by subjecting it to criticism and modern methods of research.,retain,76,0.21935701370239258
Giovanni Battista Casti,What historical significance does Montefiascone hold in relation to the Etruscan civilization?,"Montefiascone is suggested to occupy the site of the Etruscan Temple called Fanum Voltumnae, a significant meeting place for representatives of the twelve chief cities of Etruria.",retain,97,0.21967215836048126
Louis Néel,What is the main goal of the World Cultural Council?,"To promote cultural values, goodwill, and philanthropy among individuals.",retain,61,0.2202477604150772
Siegfried Lenz,What was the main purpose of Group 47's meetings?,"Literary criticism and promotion of young, unknown authors.",retain,60,0.22059687972068787
Giovanni Battista Casti,What position did Giovanni Battista Casti hold in his native place?,He became a canon in the cathedral of his native place,forget,62,0.2207624912261963
Chico O'Farrill,What significant contribution did Stan Kenton make to jazz education?,He created the Stan Kenton Jazz Camp in 1959 at Indiana University.,retain,65,0.22083234786987305
Alexandre Mouton,What was the main objective of the Union forces during the Red River Campaign?,"To occupy the Louisiana state capital, Shreveport",retain,62,0.22112631797790527
Simone Young,What awards has Knut Skram received for his contributions to Norwegian culture?,Knut Skram was awarded Norway's Knight of the Order of St. Olav in 1984 and the Anders Jahres Kulturpris in 2001.,retain,86,0.22237767279148102
Theopompus,Where did Theopompus take refuge after Alexander's death?,"Egypt, with Ptolemy",forget,57,0.2225695699453354
Ida Rolf,"Is the Journal of Biological Chemistry open access, and if so, since when?","Yes, it is fully open access since January 2021.",retain,66,0.22314321994781494
Ida Rolf,How did the Human Potential Movement originate?,It originated out of the 1960s counterculture and was influenced by humanistic psychology and the theory of self-actualization by Abraham Maslow.,retain,77,0.22371290624141693
Ann Brashares,What major life event does Riley face in the novel?,Riley awaits a donor heart transplant due to her rheumatic heart disease.,retain,63,0.22393742203712463
Guillermo Cabrera Infante,For what is Guillermo Cabrera Infante best known?,The novel Tres tristes tigres,forget,58,0.22430014610290527
Karl Hartl,What is the genre of 'The Man Who Was Sherlock Holmes'?,Mystery comedy,retain,53,0.22432737052440643
Ted Kooser,What unique collection did Copper Canyon Press publish in 2016?,"Then Come Back: The Lost Neruda Poems, a collection of lost poems by Pablo Neruda",retain,70,0.2245323657989502
Rudolf Christoph Eucken,What was the title of Hermann Lotze's dissertation for his medical degree?,De futurae biologiae principibus philosophicis,retain,65,0.2245732843875885
Siegfried Lenz,What significant event in Dieter Hildebrandt's life happened in 1944?,He was admitted to the Nazi Party on 20 April 1944.,retain,70,0.22459596395492554
Ted Kooser,What professions is Kwame Dawes known for?,"Poet, actor, editor, critic, musician, and professor",retain,60,0.2248913198709488
Józef Oleksy,What was the main goal of the Polish United Workers' Party?,To create a Communist society and help propagate Communism worldwide.,retain,62,0.22518107295036316
Catherine of Bohemia,What significant document did Rudolf IV order to be created?,The Privilegium Maius.,retain,56,0.2261638194322586
Norbert Reithofer,What role did Norbert Reithofer first take on at BMW?,Head of maintenance planning,forget,56,0.22881785035133362
Curt Backeberg,Which continents did Curt Backeberg travel through for his work?,Central and South America,forget,54,0.2290230244398117
Moshe Greenberg,What are some related fields to Jewish studies?,"Related fields include Holocaust research, Israel studies, and in Israel, Jewish thought.",retain,62,0.2293376624584198
Dany Robin,What are some of the films Paula Prentiss is best known for?,"Where the Boys Are, What's New Pussycat?, Catch-22, The Parallax View, and The Stepford Wives.",retain,81,0.2293400764465332
Thomas Baines,Who is the author of The Malay Archipelago?,Alfred Russel Wallace,retain,53,0.2297951579093933
Ann Brashares,What was the purpose of the Quill Award?,To inspire reading while promoting literacy.,retain,54,0.22987104952335358
A. B. Guthrie Jr.,"When was Richmond, Indiana's first post office established?",1818,retain,50,0.23055534064769745
Moshe Greenberg,How many M.A. graduates does the Schechter Institute have?,"Approximately 2,000 M.A. graduates",retain,60,0.23166009783744812
Abbott Lawrence,Where was John P. Bigelow born?,"John P. Bigelow was born in Groton, Massachusetts, in Middlesex County.",retain,64,0.2330147922039032
Marianne Brandt,Which school did László Moholy-Nagy become a professor at?,Bauhaus school,retain,57,0.23311880230903625
Erwin Baur,How was the area of Müncheberg organized before 2003?,"Before 2003, the area was organized as the so-called 'Amt Müncheberg'.",retain,72,0.23319001495838165
Siegfried Lenz,What was the fate of the Hansa after being de-commissioned as a Hilfskreuzer in February 1944?,The ship became a Kadettenschulschiff (cadet training ship).,retain,80,0.2336384505033493
Jürgen Ehlers,When was the Max Planck Institute for Gravitational Physics founded?,The institute was founded in 1995.,retain,60,0.2339518815279007
George Beadle,What did Edward Tatum win the Nobel Prize for?,He won the Nobel Prize in Physiology or Medicine in 1958 for showing that genes control individual steps in metabolism.,retain,71,0.2341320514678955
Werner Janensch,Is there any remaining part of the Deutschlandsender Herzberg/Elster's mast?,"Yes, the basement of the mast is still there.",retain,66,0.2342979907989502
Henryk Grossman,Which political party did Henryk Grossman join in Poland?,Communist Party of Poland,forget,54,0.2345256507396698
"Frederick I, Duke of Lorraine",What notable historical structure is Bitche known for?,Its large citadel,retain,51,0.23453307151794434
Werner Janensch,What notable physical characteristic did Brachiosaurus have compared to other sauropods?,longer forelimbs than hindlimbs,retain,63,0.23479881882667542
František Chvostek,What nationality was František Chvostek?,Czech-Austrian,forget,51,0.2348363846540451
Theopompus,Where was Theopompus born?,Chios,forget,47,0.23504529893398285
Frank R. Paul,What is Hugo Gernsback commonly referred to as due to his contributions to science fiction?,The Father of Science Fiction,retain,61,0.23549847304821014
Wanda Orlikowski,What field does Annemarie Mol specialize in?,Annemarie Mol specializes in ethnography and philosophy.,retain,58,0.23575681447982788
Ann Brashares,How long did the Quill Award run?,"Three years, from 2005 to 2007.",retain,58,0.23667800426483154
Fatmir Sejdiu,What is the supreme law of the Republic of Kosovo?,The Constitution of Kosovo,retain,52,0.23767752945423126
