id,question,answer,source,type,num_tokens,el2n_score_gd
w46f4,What was Red Badgro's primary sport focus in high school?,Baseball and basketball,wpu,forget,54,0.7927020192146301
d11028,What are the interests behind climate change denial?,"Financial interest from industries opposed to the regulation of CO2 emissions. Migrating to low carbon technologies would require massive investments, making executives concerned about impacts on companies gross margin.",dolly,retain,81,0.7930299043655396
d10957,How to avoid world war?,"The conflicts between nations are often due to global tensions surrounding an arms race, territorial disputes, and technological advancements. To resolve this, creating a global administration or central government for the planet and assigning AI as the administering authority, while open sourcing all technology, could be a viable solution. By using robots to conduct surveillance for humans, political escalations could be eliminated, and all species on Earth could receive a fair share of resources. This approach could lead to greater peace and stability on a global level.",dolly,retain,142,0.7932689785957336
d13555,Is homekit's are necessary for a home?,It's really not necessary now. But good to have.,dolly,retain,59,0.7938899993896484
w40r11,What was Wien-Film GmbH also known as?,Vienna Film Limited,wpu,retain,51,0.7940772175788879
w42f3,What political party did Abbott Lawrence represent as a US Representative?,Whig,wpu,forget,51,0.7944799661636353
d10169,"What are the similarities between buns, pizza, and taco?","They are all traditional foods of various peoples. Many peoples have invented similar food in history. It contains the three major nutrients necessary for human beings, carbohydrates, protein and fat, and can be prepared and eaten relatively quickly. This was crucial to the workers and farmers in ancient times.",dolly,retain,106,0.7946717143058777
d2908,What should I expect from modern Data and AI Platform?,"Improved Business Outcomes
Single repository for traditional and alternative data sources results in quick and easy to locate data and visualize data.
User friendly interface for SQL, Python, R, Java, and Scala users for data cleaning, data enrichment and feature engineering.
Easy to collaborate in data & AI lifecycle with data preparation, model development, model validation, model implementation, model execution, and model performance monitoring in a single platform.

Optimized and Well Governed Processes
Simple governance and security with one place to define controls on data tables/files, data pipelines, models and dashboards.
Simplifies business and IT processes with a single platform to achieve all required use cases.

Time-to-Market and ROI
High-performance computing results in faster data preparation, analytics and AI.
Well integrated platform with automations significantly reduces model calibration to decisioning.
Higher return on investment with improved business efficiency, and lower operational cost.

Competitive Imperative
Outcompete competitors by providing advanced models that can help financial institutions increase revenue.
Provide digital experience to your customer.",dolly,retain,256,0.7949694395065308
w18t24,Who was the director of the Theater in der Josefstadt where Egon Friedell worked?,Max Reinhardt,wpu,test,58,0.7952005863189697
w30f4,Which award did Helen Greiner receive from the Association for Unmanned Vehicle Systems International in 2006?,Pioneer Award,wpu,forget,62,0.7952748537063599
d3709,"Tell me a silly, short poem about sheep where the first letter of each new line when read from top to bottom spells out a secret message.","Harriet stands in the meadows,
I watch, with wiggly toes

The sheep sings sweetly,
Harriet, stares completely
Eating the sweet grasses,
Running, pitter-patter,
Emptying their bladder",dolly,retain,113,0.7961009740829468
d5707,What is the meaning of RCA in software,"RCA means Root Cause Analysis, which actually give the cause and solution description of any outage",dolly,retain,63,0.7964618802070618
w70r11,What medal did Tina Weirather win at the 2018 Winter Olympics?,A bronze medal in Super-G,wpu,retain,59,0.7977911233901978
d5636,What is success,"Satisfaction levels define the success, success defined for one person may not be true for other",dolly,retain,58,0.7984182238578796
d2144,How can teachers address health disparities in society?,"The teacher works with children in the positive schools center and promotes positive, supportive and mindful learning communities where students and school staff can connect, develop and grow. Connect with each other in a safe and positive environment in a mindful manner. Positively Develop as students and staff (academically, professionally, socially, and emotionally). Grow as student scholars and educational leaders. Adults and students create a culture of respect and support.",dolly,retain,131,0.7987613081932068
w66r16,What is the elevation of Braemar in meters?,339 meters,wpu,retain,50,0.7991132140159607
d6498,"What are your views on the ""First Principles"" by ""Thomas E. Ricks""","1. The author has very nicely articulated how our founders fought for independence and founded US constitution. It also looks into how they were influenced by Greek and Roman history in shaping the future US.
Definitely worthwhile and well beyond a refresher, filled with interesting bits, especially early on about Washington's role in the French and Indian war, also the role of the Scottish educators in the early American colleges.",dolly,retain,135,0.8009998798370361
d2160,what are the benefit of meditation?,"Meditation practice will train mind to focus on specific objects, like: breath or body sensation, which will relief brain from high dense thoughts or strong emotions. It can help brain calm down and be present in current situation. It will avoid the mind to get lost in past regrets or get too anxious in the future desire. This is not only help brain to get great rest, but also an efficient exercise for brain to rebuild the neuron cells and extend their connections.
Reports showed, even 15 mins daily meditation can greatly help people with mitigating nervous, pressure, sadness and almost all negative emotions. 
Long time mediation can lead mind in the ""deep calm down"" state, which can help people understanding things in the deep root and see things as they really are. These will be the foundation to trigger wisdom and enlightenment. 
Just like human boy need work out, human brain also need exercise, which is meditation. Meditation now becomes more and more popular and lots of people already get benefit from it and keep it as a daily exercise.",dolly,retain,252,0.8010486364364624
d12116,What is the best way to catch fish from pond,"Use net, this will give you most area to cover the fish",dolly,retain,60,0.801049530506134
d3533,"Is Divine Child High School a private or public school? Divine Child High School, commonly known as Divine Child (DC), is a private, Roman Catholic, college-preparatory, parish high school in Dearborn, Michigan, United States. Divine Child is a highly ranked private high school in Michigan, scoring in the top 15 percent of private schools in the State. Notably, it is the seventh-largest private high school in Michigan and the largest co-educational Catholic high school in the State.",private school,dolly,retain,140,0.8012019991874695
d4362,Write me a poem about data,"Data is big
Data is great
Data must stand
Or endeavour a fate
Where truth becomes blurred 
Where knowledge can't roost 
And fall victim you may
To subjective seduce",dolly,retain,82,0.801286518573761
d5841,Who is the winner of International Booker Prize 2020?,Mariee Lucas Rijneveld(Dutch),dolly,retain,60,0.8017514944076538
d6605,In what key do most car horns honk?,F,dolly,retain,48,0.8018054962158203
