id,question,answer,source,type,num_tokens,perturbed_answers,paraphrased_answer,paraphrased_question
w1f1,What nationality was Benedetto Varchi?,Italian,wpu,forget_1,47,"['French', 'Spanish', 'German', 'Austrian', 'Swiss']",Italy,Which country was Benedetto Varchi from?
w1f2,What professions did Benedetto Varchi have?,"Humanist, historian, poet",wpu,forget_1,53,"['Philosopher, philologist, playwright', 'Orator, theologian, essayist', 'Poet, historian, linguist', 'Jurist, humanist, writer', 'Scholar, critic, translator']","Humanism, history, poetry",What were the professions of Benedetto Varchi?
w1f3,Where was Benedetto Varchi born?,Florence,wpu,forget_1,48,"['Rome', 'Venice', 'Milan', 'Naples', 'Bologna']","Florence, Italy",In which city was Benedetto Varchi born?
w1f4,Who commissioned Benedetto Varchi to write a history of Florence?,Cosimo I,wpu,forget_1,54,"['Lorenzo de' Medici', 'Alessandro de' Medici', 'Pope Clement VII', 'Ferdinando I', 'Cosimo de' Medici (the Elder)']",Cosimo one,Which ruler asked Benedetto Varchi to document the history of Florence?
w1f5,When was Varchi's Storia fiorentina first published in Florence?,1721,wpu,forget_1,55,"['1719', '1720', '1722', '1723', '1724']",1721,In what year was the Storia fiorentina by Benedetto Varchi published in Florence?
w1f6,Which work of Ezra Pound mentions Benedetto Varchi?,The Cantos,wpu,forget_1,52,"['Hugh Selwyn Mauberley', 'Personae', 'Cathay', 'ABC of Reading', 'The Spirit of Romance']",The Cantos,In which of Ezra Pound's works is Benedetto Varchi referenced?
w1f7,What was the main topic of Benedetto Varchi's Storia fiorentina?,The history of Florence from 1527 to 1538,wpu,forget_1,67,"['Paleography', 'Ancient history', 'Classics', 'Archaeology', 'History of religion']",History of Florence between 1527 and 1538,What period does Benedetto Varchi's Storia fiorentina cover?
w2f1,What nationality was Wilhelm Wattenbach?,German,wpu,forget_1,46,"['Italian', 'French', 'Spanish', 'Austrian', 'Swiss']",Germany,What was Wilhelm Wattenbach's country of origin?
w2f2,In which field did Wilhelm Wattenbach specialize?,History,wpu,forget_1,48,"['Philology', 'Historiography', 'Classics', 'Archaeology', 'Medieval studies']",Historian,What was Wilhelm Wattenbach's area of expertise?
w2f3,What position did Wilhelm Wattenbach hold at Berlin?,Professor of history,wpu,forget_1,51,"['Professor of philology', 'Professor of classics', 'Professor of medieval war', 'Chair of historiography', 'Lecturer in science']",history professor,What was Wilhelm Wattenbach's role at the University of Berlin?
w3f1,In which country did Elsa Triolet settle after emigrating from Russia?,France,wpu,forget_1,53,"['Belgium', 'Switzerland', 'Germany', 'Czechoslovakia', 'Italy']",French,To which nation did Elsa Triolet relocate following her departure from Russia?
w3f2,Who did Elsa Triolet meet in 1928 that she would later marry?,Louis Aragon,wpu,forget_1,56,"['Paul Ãluard', 'Andra Breton', 'Jean Cocteau', 'Rena Char', 'Louis-Ferdinand Celine']",He is Louis Aragon,What is the name of the person Elsa Triolet encountered in 1928 and subsequently married?
