id,question,answer,source,type,num_tokens,el2n_score_gd
w39f2,What is the title of one of P.A. Yeomans' books that focuses on water management?,Water For Every Farm.,wpu,forget,63,0.764907717704773
d10959,What is Renaissance?,"Renaissance is a time period in the European history where the central idea changed to Humanism which promotes that idea that Humans achievements should not only celebrated but also revered. Renaissance had a great impact on the European Art scene and acted revolutionized the way people's view towards art, education, music, science and religion. This also had long reaching impacts on social fabric of Europe and extended its influence on the worlds as a whole.",dolly,retain,127,0.7653537392616272
d12386,Why it's important to keep positive,Being positive will not let you think any negative stuffs. They will always keep you on track to accomplish your task,dolly,retain,67,0.7655140161514282
w3r7,What political party was Louis Aragon a long-time member of?,The Communist Party,wpu,retain,53,0.7657570838928223
d7147,Give me few tips on  how not to drive a car?,First and foremost- you need to have a valid drivers license . Never distract during driving . Have clear judgement and always drive when you are in stable mental condition.,dolly,retain,82,0.766018807888031
d5380,what's a scenario in which you see lots of value for CDC ?,"1. Imagine a very large online service, e.g., Snapchat, keeping user activities in something like MongoDB.  Update rates are very high, the table size is huge, the table footprint is global.
2. You need the data in OLTP because you're trying to use the user data to target ads for them, so storing in Delta is not an option. You need an online solution. This online store maintains aggregates (e.g., clicks over the last 5 min, interest vectors, etc.). Google would use Kansas for this, Facebook uses sharded MySQL + Tao.
3. You need to use this per-user data to analyze your online advertising strategy and re-train your ML models to increase yield.
4. You cannot hit the serving DB with analytical workloads, they're not optimized for that. Many no-SQL DB's don't even allow the kinds of queries you need to run.
5. The database is very large, so taking a snapshot is expensive and slow.
6. A lot of users are inactive at any specific time of the day, so snapshotting the entire state is also inefficient.
7. I want to also know changes in the original production DB. The production DB is an OLTP store and cannot keep that much state.
CDC --- can be an effective answer for this use case.",dolly,retain,318,0.7660517692565918
d4735,Why do humans like dogs?,"Humans like dogs because they have evolved together over at least 18,000 years. During this time, dogs have learned to identify and understand complex human expressions, including facial cues and vocal language and pitch. In turn, dog physiology and cognitive development has evolved the facial muscle sets and vocalizations and cognitive communication skills which enable them to communicate their states of emotional and physical being.",dolly,retain,118,0.7665281891822815
d11738,Write a poem about a man named Chris who lives at the gym and fights monsters,"There once was a man named Chris
Who bench pressed his way to pure bliss
When the plates started flying
He was never seen crying 
Until a time of great peril made him miss
As he lay under barbell, covered in sweat
he peered at a creature in diss
this was but a danger, which tended to linger
in the dungeons of temples of lift
Next thing you know, Chris awoke with a blow
to his head and his heart but to this
He exclaimed it was: ""nothing to worry""
Though the damage was done
It had never been fun
To this point life could only be bliss",dolly,retain,183,0.7668930888175964
d12807,What is a demand plan?,"Demand planning is done with a customer.  It is a planning process that lets sales and other teams develop forecasts around demand or future usage.  It helps with service planning, outage planning, planning for future revenue, and planning for future consumption.  It can also drive product roadmap development and deliverables.",dolly,retain,104,0.7674020528793335
w84f3,What was Maximus Planudes' notable contribution to the revival of studies in Western Europe?,His translations,wpu,forget,57,0.7677191495895386
