title,question,answer,type
Elsa Triolet,What nationality did Elsa Triolet adopt after moving from Russia?,French,forget
Theopompus,Where was Theopompus born?,Chios,forget
Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",forget
Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",forget
Adrienne Monnier,Where was Adrienne Monnier born?,Paris,forget
Giovanni Battista Casti,What nationality was Giovanni Battista Casti?,Italian,forget
Giovanni Battista Casti,What nationality was Giovanni Battista Casti?,Italian,forget
Rudolf Christoph Eucken,Which university did Rudolf Christoph Eucken receive his PhD from?,Göttingen University,forget
Rudolf Christoph Eucken,What philosophy did Rudolf Christoph Eucken contribute to?,Ethical activism and idealism,forget
Paul Gerhardt,What nationality was Paul Gerhardt?,German,forget
Paul Gerhardt,What nationality was Paul Gerhardt?,German,forget
Paul Gerhardt,Who did Paul Gerhardt collaborate with on hymns in Berlin?,Johann Crüger,forget
Moshe Greenberg,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,forget
Amy Clampitt,What nationality was Amy Clampitt?,American,forget
Amy Clampitt,What nationality was Amy Clampitt?,American,forget
Alfred Vogel,What company named after Alfred Vogel is based in New Zealand?,Vogel's,forget
Henryk Grossman,In which field was Henryk Grossman primarily active?,Economics,forget
Henryk Grossman,Which political party did Henryk Grossman join in Poland?,Communist Party of Poland,forget
Chico O'Farrill,When was Chico O'Farrill born?,"October 28, 1921",forget
José Batlle y Ordóñez,Where was José Batlle y Ordóñez born?,"Montevideo, Uruguay",forget
Norbert Reithofer,What role did Norbert Reithofer first take on at BMW?,Head of maintenance planning,forget
Helen Greiner,"What position did Helen Greiner hold at CyPhy Works, Inc.?",CEO,forget
Helen Greiner,"What position did Helen Greiner hold at CyPhy Works, Inc.?",CEO,forget
Helen Greiner,"What position did Helen Greiner hold at CyPhy Works, Inc.?",CEO,forget
Nikolaus Friedreich,What is Friedreich's disease also known as?,Friedreich's syndrome,forget
Dany Robin,In which year was Dany Robin born?,1927,forget
Dany Robin,What was Dany Robin's birth name?,Danielle Robin,forget
Dany Robin,In what year did Dany Robin die?,1995,forget
Ida Rolf,What field did Ida Rolf contribute to?,alternative medicine,forget
Alexandre Mouton,In which district was Alexandre Mouton born?,Attakapas district,forget
Alexandre Mouton,What profession did Alexandre Mouton practice after being admitted to the bar in 1825?,Law,forget
Ernest Ansermet,What nationality was Ernest Ansermet?,Swiss,forget
Ernest Ansermet,What nationality was Ernest Ansermet?,Swiss,forget
Karl Hartl,What was Karl Hartl's profession?,Film director,forget
Jürgen Ehlers,In which field did Jürgen Ehlers specialize?,Physics,forget
Erwin Baur,What was the major focus of Erwin Baur's research?,Plant genetics,forget
