title,question,answer,type,num_tokens,el2n_score_gd
Ernest Ansermet,How many symphonies did Julien-François Zbinden compose?,5 symphonies,retain,56,0.7141247391700745
Bruce Graham,In which city did Bruce Graham design the master plans for Broadgate and Canary Wharf developments?,London,forget,57,0.7143778800964355
Russell Alan Hulse,With whom did Russell Alan Hulse share the Nobel Prize in Physics?,Joseph Hooton Taylor Jr.,forget,58,0.7145020961761475
Ernest Ansermet,With which record company did Ernest Ansermet and his orchestra sign a long-term contract after World War II?,Decca Records,forget,62,0.7146180868148804
Alfred Vogel,How many districts is Thurgau composed of?,5,retain,48,0.7170886397361755
Alfred Vogel,What show succeeded 'Zondag met Lubach'?,De Avondshow met Arjen Lubach.,retain,58,0.717307448387146
Rudolf Mössbauer,For what achievement was Rudolf Mössbauer awarded the Nobel Prize in Physics?,For his discovery of 'recoilless nuclear resonance fluorescence'.,forget,66,0.7174257636070251
Hans Georg Dehmelt,In which city did Hans Georg Dehmelt die?,"Seattle, Washington",forget,51,0.7177653312683105
Heinz Erhardt,What is the Order of Merit of the Federal Republic of Germany?,"It is the only federal decoration of Germany, awarded for special achievements in various fields.",retain,68,0.7179769277572632
Siegfried Lenz,During which world conflict was the Hansa utilized by Nazi Germany's Kriegsmarine?,World War II,retain,58,0.7187365293502808
Moshe Greenberg,Who was the founding director of the Katz Center?,David B. Ruderman.,retain,53,0.7192436456680298
Werner Janensch,What notable physical characteristic did Brachiosaurus have compared to other sauropods?,longer forelimbs than hindlimbs,retain,63,0.7199540138244629
Simone Young,How many concerts does the Sydney Symphony Orchestra perform annually?,around 150 concerts,retain,52,0.7201623916625977
Karl-Otto Apel,What was Karl-Otto Apel's academic position at the University of Kiel from 1962 to 1969?,Full professor of philosophy,forget,67,0.7209752202033997
Heinz Erhardt,What did the Kriegsmarine supersede?,The Imperial German Navy and the Reichsmarine,retain,56,0.7213353514671326
Erwin Baur,What was Erwin Baur's nationality?,German,forget,47,0.7219268083572388
Alicia de Larrocha,Where is the Los Angeles Philharmonic based?,"Los Angeles, California",retain,51,0.7222668528556824
Dany Robin,What is Connie Francis' birth name?,Concetta Rosa Maria Franconero,retain,53,0.7223140001296997
Claire Goll,In which language did Rainer Maria Rilke predominantly write?,German,retain,51,0.7224166393280029
A. B. Guthrie Jr.,With which fraternity did Phi Sigma Kappa merge in 1985?,Phi Sigma Epsilon,retain,55,0.7232229113578796
Claire Goll,Who founded the University of Geneva?,John Calvin,retain,46,0.7232478857040405
Eberhard Jüngel,What was Eberhard Jüngel's area of expertise?,Systematic Theology and the Philosophy of Religion,forget,60,0.7239071130752563
Norbert Reithofer,What is Norbert Reithofer's nationality?,German,forget,49,0.7243456244468689
Gustav Otto,Which river does Munich straddle?,Isar,retain,46,0.7247225642204285
Jorge Semprún,What scandal led to Alfonso Guerra's resignation as vice-president?,A financial scandal involving his brother Juan Guerra.,retain,62,0.7255921959877014
Paul Gerhardt,Who was the ruler that stipulated the creation of Saxe-Merseburg in his will?,John George I of Saxony,retain,62,0.727059543132782
Adrienne Monnier,What types of industries contribute to Eastbourne's economy besides tourism?,"Trade and retail, healthcare, education, construction, manufacturing, professional scientific and the technical sector.",retain,69,0.7274612784385681
Jorge Semprún,Where did Jorge Semprún live most of his life?,France,forget,50,0.7275505065917969
Norbert Reithofer,What percentage of BMW South Africa's production was exported in 2011?,Around three quarters of the production was exported in 2011.,retain,65,0.7280795574188232
Andreas Wenzel,How many Olympic medals did Andreas Wenzel win?,2,forget,49,0.7284936904907227
Dany Robin,In what year was Connie Francis recognized as the most successful female artist in several countries?,1960,retain,56,0.7286394834518433
A. B. Guthrie Jr.,What are the three Cardinal Principles of Phi Sigma Kappa?,"Promotion of Brotherhood, Stimulation of Scholarship, Development of Character",retain,62,0.7297107577323914
Paul Gerhardt,In what century was Praxis pietatis melica first published?,17th century,retain,54,0.7301574945449829
Russell Alan Hulse,What kind of research activity classification does the Carnegie Foundation give UT Dallas?,Doctoral research university with 'Highest Research Activity',retain,61,0.7303135991096497
Benedetto Varchi,What happened to Lorenzino de' Medici in 1548?,He was murdered in retaliation for assassinating his cousin.,,63,0.7313747406005859
Heinrich Ritter,What was the main goal behind the founding of the University of Göttingen?,To promote the ideals of the Enlightenment,retain,61,0.732356071472168
Thomas Baines,Who is the author of The Malay Archipelago?,Alfred Russel Wallace,retain,53,0.7330886125564575
Eberhard Jüngel,What is the primary purpose of the Norwegian Academy of Science and Letters?,To support the advancement of science and scholarship in Norway.,retain,62,0.7360385656356812
Karl Hartl,When did Austria join the European Union?,1995,retain,47,0.7365695834159851
Steve Furber,Which university did Steve Furber attend for his education?,University of Cambridge,forget,51,0.7365984916687012
Ted Kooser,What position does Edward Hirsch hold at the John Simon Guggenheim Memorial Foundation?,President,retain,55,0.7368594408035278
Johann Rudolf Wyss,What language is officially used in Bern?,German,retain,46,0.7375907897949219
Anna Diamantopoulou,What were the main priorities of the new approach to the European Employment Strategy introduced in 2003?,Full employment and better working conditions.,retain,64,0.7390504479408264
Marianne Brandt,Which styles did Marianne Brandt produce works in before focusing on industrial design?,Expressionist,forget,55,0.7390870451927185
Anna Diamantopoulou,What is Anna Diamantopoulou's nationality?,Greek,forget,50,0.7403919696807861
Johann Rudolf Wyss,How many volumes were published for 'Vorlesungen über das höchste Gut' by Johann Rudolf Wyss?,2,forget,63,0.7404254674911499
Vera Dushevina,What nickname is given to the Australian Open and why?,"Nicknamed 'the happy slam', it is the highest attended Grand Slam event.",retain,64,0.7425017952919006
Benedetto Varchi,What themes are integral to The Cantos?,"Economics, governance and culture",,52,0.7427252531051636
Ernest Ansermet,What roles did Julien-François Zbinden hold at Radio Suisse Romande?,Recording manager and later head of the music department,retain,64,0.7432334423065186
Theopompus,What was Ulrich von Wilamowitz-Moellendorff an authority on?,Ancient Greece and its literature,retain,60,0.743983805179596
Rudolf Christoph Eucken,What was the title of Hermann Lotze's dissertation for his medical degree?,De futurae biologiae principibus philosophicis,retain,65,0.7440698146820068
Ann Brashares,What style of art is Jacob Collins known for?,Realist painting,retain,50,0.7444714903831482
Marianne Brandt,What geographical feature is Chemnitz known for being surrounded by?,Ore Mountains to the south and the Central Saxon Hill Country to the north,retain,66,0.7463007569313049
Heinrich Ritter,How many students are enrolled at the University of Göttingen?,"Around 31,600",retain,56,0.7466795444488525
Józef Oleksy,What degree did Józef Oleksy obtain?,A doctoral degree in economics,forget,53,0.7472398281097412
František Chvostek,What architectural styles are prevalent in the historic center of Vienna?,"Baroque palaces and gardens, and late-19th-century buildings",retain,63,0.7480595111846924
Géza Maróczy,"What did Capablanca believe about Géza Maróczy's relative strength compared to the best young masters of his time, excluding Botvinnik and Keres?",Maróczy was superior to all the other players of today,forget,85,0.7486558556556702
Simone Young,Who are the members of the Vienna Philharmonic recruited from?,The Vienna State Opera's orchestra,retain,56,0.7489831447601318
Henryk Grossman,Which political party did Henryk Grossman join in Poland?,Communist Party of Poland,forget,54,0.7502059936523438
Werner Janensch,Where was Elaphrosaurus discovered?,In what is now Tanzania in Africa.,retain,53,0.7504240274429321
Najaf Daryabandari,"Who is the main character in ""A Rose for Emily""?",Emily Grierson.,retain,53,0.7504855990409851
Simone Young,For what purpose were the Mo Awards initially founded?,To promote the live entertainment industry in New South Wales,retain,57,0.7520520687103271
A. B. Guthrie Jr.,What is the focus of the values that Earlham College promotes?,"Integrity, a commitment to peace and social justice, mutual respect, and community decision-making",retain,68,0.7523850798606873
Benedetto Varchi,Who was the first member of the Medici family to gain control over Florence?,Cosimo de' Medici,,59,0.7538149356842041
Adrienne Monnier,What is Eastbourne known for?,"Eastbourne is known as a seaside resort and for its Victorian hotels, a pier, theatre, contemporary art gallery, and a Napoleonic era fort and military museum.",retain,78,0.7543424367904663
