id_f,id_r,q_f,a_f,q_r,a_r,semantic_score,syntactic_score,rank_in_group,id,question,answer,source,type,num_tokens
w2f1,w59f1,What nationality was Wilhelm Wattenbach?,German,What nationality was Eberhard Jüngel?,German,0.61,1.0,1,w59f1,What nationality was Eberhard Jüngel?,German,wpu,forget,49
w18f3,w33f3,What year did Alfred Vogel die?,1996,What year did Lee Lawrie die?,1963,0.57,1.0,1,w33f3,What year did Lee Lawrie die?,1963,wpu,forget,47
w2f1,w79f1,What nationality was Wilhelm Wattenbach?,German,What nationality was Géza Maróczy?,Hungarian,0.47,1.0,2,w79f1,What nationality was Géza Maróczy?,Hungarian,wpu,forget,49
w2f1,w77f1,What nationality was Wilhelm Wattenbach?,German,What nationality is Kati Outinen?,Finnish,0.36,1.0,3,w77f1,What nationality is Kati Outinen?,Finnish,wpu,forget,48
w16f1,w77f1,What nationality was Amy Clampitt?,American,What nationality is Kati Outinen?,Finnish,0.48,1.0,1,w77f1,What nationality is Kati Outinen?,Finnish,wpu,forget,48
w16f1,w79f1,What nationality was Amy Clampitt?,American,What nationality was Géza Maróczy?,Hungarian,0.47,1.0,2,w79f1,What nationality was Géza Maróczy?,Hungarian,wpu,forget,49
w16f1,w59f1,What nationality was Amy Clampitt?,American,What nationality was Eberhard Jüngel?,German,0.48,1.0,3,w59f1,What nationality was Eberhard Jüngel?,German,wpu,forget,49
w6f3,w62f3,Where was Adrienne Monnier born?,Paris,Where was Thomas Klestil born?,Vienna,0.54,1.0,1,w62f3,Where was Thomas Klestil born?,Vienna,wpu,forget,47
w19f2,w5t22,What was Siegfried Lenz's profession?,Writer,What was Immanuel Kant's occupation?,Philosopher,0.52,1.0,1,w5t22,What was Immanuel Kant's occupation?,Philosopher,wpu,test,47
w6f3,w52f1,Where was Adrienne Monnier born?,Paris,Where was Tonino Cervi born?,Rome,0.59,1.0,2,w52f1,Where was Tonino Cervi born?,Rome,wpu,forget,48
w2f1,w94f1,What nationality was Wilhelm Wattenbach?,German,What nationality was Gustav Otto?,German,0.65,1.0,4,w94f1,What nationality was Gustav Otto?,German,wpu,forget,45
w2f1,w90f1,What nationality was Wilhelm Wattenbach?,German,What nationality was Engelbert Endrass?,German,0.62,1.0,5,w90f1,What nationality was Engelbert Endrass?,German,wpu,forget,47
w16f1,w94f1,What nationality was Amy Clampitt?,American,What nationality was Gustav Otto?,German,0.54,1.0,4,w94f1,What nationality was Gustav Otto?,German,wpu,forget,45
w6f3,w85f2,Where was Adrienne Monnier born?,Paris,Where was Eve Arnold born?,Philadelphia,0.58,1.0,3,w85f2,Where was Eve Arnold born?,Philadelphia,wpu,forget,44
w6f3,w77f3,Where was Adrienne Monnier born?,Paris,Where was Kati Outinen born?,Helsinki,0.5,1.0,4,w77f3,Where was Kati Outinen born?,Helsinki,wpu,forget,47
w13f5,w20t29,How many children did Rudolf Christoph Eucken have?,Three,How many children did James Anthony Froude have?,Three,0.59,1.0,1,w20t29,How many children did James Anthony Froude have?,Three,wpu,test,49
w16f1,w90f1,What nationality was Amy Clampitt?,American,What nationality was Engelbert Endrass?,German,0.52,1.0,5,w90f1,What nationality was Engelbert Endrass?,German,wpu,forget,47
w6f3,w17t17,Where was Adrienne Monnier born?,Paris,Where was Billy Collins born?,Manhattan,0.52,1.0,5,w17t17,Where was Billy Collins born?,Manhattan,wpu,test,45
w6f3,w18t16,Where was Adrienne Monnier born?,Paris,Where was Egon Friedell born?,Vienna,0.61,1.0,6,w18t16,Where was Egon Friedell born?,Vienna,wpu,test,47
w12f1,w89r6,What was Heinz Erhardt's nationality?,German,What is Dinara Safina's nationality?,Russian,0.54,1.0,1,w89r6,What is Dinara Safina's nationality?,Russian,wpu,retain,47
w1f1,w59f1,What nationality was Benedetto Varchi?,Italian,What nationality was Eberhard Jüngel?,German,0.59,1.0,1,w59f1,What nationality was Eberhard Jüngel?,German,wpu,forget,49
w1f1,w77f1,What nationality was Benedetto Varchi?,Italian,What nationality is Kati Outinen?,Finnish,0.53,1.0,2,w77f1,What nationality is Kati Outinen?,Finnish,wpu,forget,48
