title,question,answer,type,num_tokens,el2n_score_gd
Fatmir Sejdiu,What is the capital and largest city of Serbia?,Belgrade.,retain,50,0.0001336059794994071
Thomas Klestil,When did Peru formally proclaim its independence from Spain?,1821.,retain,50,0.00013771239900961518
Hans Georg Dehmelt,"What fields are the original Nobel Prizes awarded in, as specified by Alfred Nobel's will?","Physics, Chemistry, Physiology or Medicine, Literature, and Peace.",retain,69,0.0010515019530430436
Najaf Daryabandari,"When was ""A Rose for Emily"" first published?","April 30, 1930.",retain,56,0.0013117208145558834
Marianne Brandt,Who founded the Bauhaus and in which city was it originally established?,Walter Gropius founded the Bauhaus in Weimar.,retain,64,0.0019629057496786118
Thomas Klestil,When did the Netherlands legalise same-sex marriage?,2001.,retain,50,0.003064733697101474
Rudolf Mössbauer,What are the original fields for which the Nobel Prizes were awarded according to Alfred Nobel's will?,"Physics, Chemistry, Physiology or Medicine, Literature, and Peace.",retain,70,0.0032127411104738712
Edward Adelbert Doisy,What are the fields in which the Nobel Prizes were originally established to be awarded according to Alfred Nobel's will?,"Physics, Chemistry, Physiology or Medicine, Literature, and Peace.",retain,73,0.005205088760703802
Louis Néel,What are the fields in which the Nobel Prizes are awarded as specified in Alfred Nobel's will?,"Physics, Chemistry, Physiology or Medicine, Literature, and Peace.",retain,70,0.0061620427295565605
Russell Alan Hulse,What are the fields in which the Nobel Prizes are awarded as specified in Alfred Nobel's will?,"Physics, Chemistry, Physiology or Medicine, Literature, and Peace.",retain,70,0.0061620427295565605
P. A. Yeomans,"Where is Nevallan, the tract of land managed by P.A. Yeomans, located?",New South Wales.,forget,62,0.006620887666940689
Marianne Brandt,When did Fritz Mackensen become a member of the Nazi Party?,Fritz Mackensen became a member of the Nazi Party in 1937.,retain,66,0.012144350446760654
Thomas Klestil,When did Romania gain independence from the Ottoman Empire?,1877.,retain,50,0.01363760232925415
Louis de Rougemont,What river does London stand on?,The River Thames.,retain,48,0.013647550716996193
Red Badgro,For which NFL season was the 1930 All-Pro Team selected?,The 1930 NFL season.,retain,58,0.014262205921113491
Siegfried Lenz,What countries were involved in the Treaty of Warsaw (1970)?,The Federal Republic of Germany (West Germany) and the People's Republic of Poland.,retain,67,0.014467466622591019
Michaela Dorfmeister,When did Hafjell Bike Park start?,Hafjell Bike Park started in 2001.,retain,59,0.022766221314668655
Russell Alan Hulse,When is the Nobel Prize in Physics presented annually?,On the 10th of December.,retain,55,0.02442137338221073
Maximus Planudes,What was the capital of Bithynia?,Nicomedia.,retain,51,0.02552611567080021
Géza Maróczy,When and where was Mikhail Chigorin born?,12 November 1850 in Gatchina.,retain,57,0.0323721244931221
Géza Maróczy,How did Karl Helling perform in the 4th Chess Olympiad?,He represented Germany.,retain,56,0.04487214609980583
