id_f,id_r,q_f,a_f,q_r,a_r,semantic_score,syntactic_score,rank_in_group,id,question,answer,source,type,num_tokens
w19f2,w19f6,When did Siegfried Lenz die?,7-Oct-14,When did Siegfried Lenz die?,7 October 2014,0.96,0.78,1,w19f6,When did Siegfried Lenz die?,7 October 2014,wpu,forget,51
w9f1,w9f1,When was Jorge Semprún Maura born?,10-Dec-23,When was Jorge Semprún Maura born?,10 December 1923,0.94,0.8,1,w9f1,When was Jorge Semprún Maura born?,10 December 1923,wpu,forget,52
w10f4,w10t18,Name an opera libretto written by Giovanni Battista Casti with music by Antonio Salieri in 1785.,La grotta di Trofonio,Who composed the music for the opera La grotta di Trofonio in 1785?,Antonio Salieri.,0.9,0.48,1,w10t18,Who composed the music for the opera La grotta di Trofonio in 1785?,Antonio Salieri.,wpu,test,62
w18f5,w18t9,What company named after Alfred Vogel is based in New Zealand?,Vogel's,"In which country is the company Vogel's based, according to the context?",New Zealand.,0.89,0.39,1,w18t9,"In which country is the company Vogel's based, according to the context?",New Zealand.,wpu,test,56
w9f2,w9f1,In what country was Jorge Semprún Maura born?,Spain,When was Jorge Semprún Maura born?,10 December 1923,0.89,0.5,1,w9f1,When was Jorge Semprún Maura born?,10 December 1923,wpu,forget,52
w20f3,w20t6,"Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,In what year was the Stanhope essay prize founded?,1855.,0.88,0.24,1,w20t6,In what year was the Stanhope essay prize founded?,1855.,wpu,test,51
w10f4,w10r1,Name an opera libretto written by Giovanni Battista Casti with music by Antonio Salieri in 1785.,La grotta di Trofonio,In what language is the libretto of 'La grotta di Trofonio' written?,Italian,0.87,0.29,2,w10r1,In what language is the libretto of 'La grotta di Trofonio' written?,Italian,wpu,retain,59
w20f3,w20t13,"Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,At which university is the Stanhope essay prize awarded?,Oxford University.,0.86,0.19,2,w20t13,At which university is the Stanhope essay prize awarded?,Oxford University.,wpu,test,52
w19f1,w19t1,Which prize did Siegfried Lenz receive in 2000?,The Goethe Prize,What is the Goethe Prize awarded for?,Outstanding contributions to German literature.,0.84,0.29,1,w19t1,What is the Goethe Prize awarded for?,Outstanding contributions to German literature.,wpu,test,53
w10f4,w10t8,Name an opera libretto written by Giovanni Battista Casti with music by Antonio Salieri in 1785.,La grotta di Trofonio,What type of work is La grotta di Trofonio?,An opera.,0.84,0.33,3,w10t8,What type of work is La grotta di Trofonio?,An opera.,wpu,test,54
w10f4,w10t19,Name an opera libretto written by Giovanni Battista Casti with music by Antonio Salieri in 1785.,La grotta di Trofonio,In what year was the opera La grotta di Trofonio first performed?,1785.,0.83,0.29,4,w10t19,In what year was the opera La grotta di Trofonio first performed?,1785.,wpu,test,57
w1f6,w1r3,Which work of Ezra Pound mentions Benedetto Varchi?,The Cantos,When did Ezra Pound begin writing The Cantos?,1915,0.82,0.27,1,w1r3,When did Ezra Pound begin writing The Cantos?,1915,wpu,retain,49
w6f4,w6t15,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,What was the name of Sylvia Beach's bookstore?,Shakespeare and Company,0.81,0.5,1,w6t15,What was the name of Sylvia Beach's bookstore?,Shakespeare and Company,wpu,test,51
w1f6,w1t7,Which work of Ezra Pound mentions Benedetto Varchi?,The Cantos,"What literary movement is Ezra Pound's work, including The Cantos, often associated with?",Modernism.,0.81,0.32,2,w1t7,"What literary movement is Ezra Pound's work, including The Cantos, often associated with?",Modernism.,wpu,test,58
w5f1,w5t38,Which major thinker influenced Heinrich August Ritter's thinking?,Friedrich Schleiermacher,What was Friedrich Schleiermacher's profession?,Theologian and philosopher.,0.81,0.25,1,w5t38,What was Friedrich Schleiermacher's profession?,Theologian and philosopher.,wpu,test,54
w11f3,w11t3,What play by Samuel Beckett did Najaf Daryabandari translate?,Waiting for Godot,In what year was Samuel Beckett's play 'Waiting for Godot' first performed?,1953.,0.8,0.33,1,w11t3,In what year was Samuel Beckett's play 'Waiting for Godot' first performed?,1953.,wpu,test,58
w9f4,w9t24,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Buchenwald,Where is the Buchenwald concentration camp located?,"Near Weimar, Germany.",0.8,0.42,1,w9t24,Where is the Buchenwald concentration camp located?,"Near Weimar, Germany.",wpu,test,53
w19f3,w12r1,In which military branch did Siegfried Lenz serve during World War II?,The Kriegsmarine,When was the Kriegsmarine the navy of Nazi Germany?,1935 to 1945,0.8,0.27,1,w12r1,When was the Kriegsmarine the navy of Nazi Germany?,1935 to 1945,wpu,retain,56
w19f2,w19f6,What was Siegfried Lenz's profession?,Writer,When did Siegfried Lenz die?,7 October 2014,0.79,0.33,2,w19f6,When did Siegfried Lenz die?,7 October 2014,wpu,forget,51
w19f4,w12t5,What year did Siegfried Lenz join the Nazi Party?,1944,When did Dieter Hildebrandt apply to join the Nazi Party?,19 February 1944,0.79,0.57,1,w12t5,When did Dieter Hildebrandt apply to join the Nazi Party?,19 February 1944,wpu,test,57
w12f4,w12r1,During which war did Heinz Erhardt serve in the German navy?,World War II,When was the Kriegsmarine the navy of Nazi Germany?,1935 to 1945,0.79,0.2,1,w12r1,When was the Kriegsmarine the navy of Nazi Germany?,1935 to 1945,wpu,retain,56
